Số chứng từ,Ngày tạo,Người tạo,Loại kế hoạch,Ghi chú 1,Mã vật tư,Tên vật tư,Đvt 1,Số lượng (1),HSQĐ,Đvt 2,Số lượng (2),Ghi chú 2,Mục đích sử dụng,Ngày sử dụng
EP2402-0044,2/27/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư thay thế sửa chữa máy nén khí SA37A,090570216000000,Ống dẫn dầu đầu nén- máy nén khí SA37A.,ONG,1,1,ONG,1,,Thay thế sửa chữa.,2/29/2024
EP2402-0046,2/27/2024,Đoàn Chí Nguyện,Theo bộ phận,PHU KIEN THAY THE MAY HUT BUI,0906201129000000,Bàn Hút Bụi (HITACHI),CAI,1,1,CAI,1,,THAY THE,3/10/2024
EP2402-0049,2/28/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư thay thế sửa chữa cho máy sợi LH1.,0911100420000000,Lá đồng đỏ 1000x1000x0.5mm,TAM,1,1,TAM,1,,Thay thế sửa chữa.,2/29/2024
EP2402-0049,2/28/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư thay thế sửa chữa cho máy sợi LH1.,0902210230000000,Biến tần FR - E740 - 095 - EC,Cái,1,1,Cái,1,,Thay thế sửa chữa.,2/29/2024
EP2402-0055,2/29/2024,Lê Thị Ngọc Hoài,Theo bộ phận,Mua vật tư sản xuất bao jumbo mẫu của khách hàng IPC theo SO2402-0015,10PVC-D1602-02-0001,"Ống nhựa PVC, D16mm x dày 2mm, xanh dương. [Ống lưởi dẻo gia cường bằng sợi PolyEster]",M,10,0.1,KG,1,,,3/4/2024
EP2402-0055,2/29/2024,Lê Thị Ngọc Hoài,Theo bộ phận,Mua vật tư sản xuất bao jumbo mẫu của khách hàng IPC theo SO2402-0015,10DAI-MNBEI-01-0743,"Dây đai mono, 7.0cm x 43.0g/m, màu beige",M,15.6,0.04295,KG,0.67,,,3/4/2024
EP2402-0055,2/29/2024,Lê Thị Ngọc Hoài,Theo bộ phận,Mua vật tư sản xuất bao jumbo mẫu của khách hàng IPC theo SO2402-0015,10DAI-MNBEI-01-0425,"Dây đai mono, 4.0cm x 25.0g/m, màu beige",M,11.5,0.02522,KG,0.29,,,3/4/2024
EP2402-0056,2/29/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư sử dụng thay thế cho đầu lưới máy sợi LOHIA1.,0923700490000000,Bulong lục giác đầu tròn. M16xP2.0x45mm Grade 12.9 - (ren suốt),CAI,15,1,CAI,15,,Thay thế sửa chữa.,3/3/2024
EP2403-0004,3/1/2024,Hà Mạnh Hùng,Theo bộ phận,"Vật tư sử dụng thay thế cho máy dệt, theo đề xuất phân xưởng dệt.",0916600710000000,Đầu bít nhôm lô dấn máy dệt phi 50x45mm ( gia công theo bản vẽ),CAI,30,1,CAI,30,,"Thay thế sửa chữa,",4/5/2024
EP2403-0011,3/4/2024,Hoàng Văn Khiêm,Theo bộ phận,Vật Tư Làm Mái che X7,0922300070000000,Cảo tăng đơ cáp 10,Cái,20,1,Cái,20,,,3/5/2024
EP2403-0012,3/4/2024,Hà Mạnh Hùng,Theo bộ phận,Vậy tư thay thế sửa chữa máy móc thiết bị phục vụ sản xuất.,090570220000000,Ben dầu thủy lực phi 45 x 350mm - ty ben phi 25 x hành trình 250. - 2 đầu lỗ gá phi 20. Lỗ bơm dầu ren trong M14,CAI,2,1,CAI,2,,Thay thế,3/7/2024
EP2403-0013,3/4/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư bảo trì thay thế cho máy nén khí SA37A.,0903901240000000,Van một chiều dầu đầu nén SA37A.,CAI,1,1,CAI,1,,Bảo trì thay thế,3/6/2024
EP2403-0015,3/5/2024,Hà Mạnh Hùng,Theo bộ phận,"Vật tư sử dụng sửa chữa máy móc thiết bị phục vụ sản xuất,",0902700850000000,Đồng hồ hiển thị cân EXCELL - EX2005,CAI,1,1,CAI,1,,Thay thế cho máy thổi 02,3/8/2024
EP2403-0015,3/5/2024,Hà Mạnh Hùng,Theo bộ phận,"Vật tư sử dụng sửa chữa máy móc thiết bị phục vụ sản xuất,",0902210240000000,Loadcelll PW6K -HBM-15KG-500R1,CAI,2,1,CAI,2,,Thay thế cho máy thổi 02,3/8/2024
EP2403-0015,3/5/2024,Hà Mạnh Hùng,Theo bộ phận,"Vật tư sử dụng sửa chữa máy móc thiết bị phục vụ sản xuất,",0908601230000000,Bộ Nguồn meanwell NDR-240-24,CAI,2,1,CAI,2,,Thay thế và dự phòng thay thế cho máy dệt .,3/8/2024
EP2403-0032,3/11/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư sử dụng sửa chữa máy móc thiết bị phục vụ sản xuất.,0902210250000000,Thyristor - RS2090 - 44A40F2021.,CAI,1,1,CAI,1,,Máy sợi LOHIA 8,3/15/2024
EP2403-0034,3/12/2024,Đặng Thị Mỹ Hạnh,Theo bộ phận,Đề xuất mua quạt đứng sử dụng chung cho VP theo QĐ06/BGĐ/SDMĐH-HCNS,5200111290000000,"Quạt đứng Senko sải cánh 45cm DCN1808 (5 cánh, 75W, lồng mạ crome)",CAI,5,1,CAI,5,,Sd chung cho VP,3/16/2024
EP2403-0035,3/12/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư lắp đặt cho máy sợi LOHIA 1.,0908900057000000,Bộ mặt bít gắn đầu lưới máy sợi LOHIA (LOREX - E90 - B1000),BO,1,1,BO,1,,Thay thế mới.,3/24/2024
EP2403-0039,3/13/2024,Hoàng Văn Khiêm,Theo bộ phận,Vật Tư chuyển VP bán TP lên Trên Lầu,0911100490000000,Tấm thạch cao,TAM,26,1,TAM,26,,,3/15/2024
EP2403-0042,3/14/2024,Đặng Thị Mỹ Hạnh,Theo bộ phận,Đề xuất mua cờ Đài Loan  (lớn+nhỏ) tiếp khách,5300102030000000,Lá cờ ĐÀI LOAN  KT : 1000 x 1400mm,CAI,1,1,CAI,1,,,3/18/2024
EP2403-0042,3/14/2024,Đặng Thị Mỹ Hạnh,Theo bộ phận,Đề xuất mua cờ Đài Loan  (lớn+nhỏ) tiếp khách,5300102040000000,Lá cờ ĐÀI LOAN  KT : 130x250mm,CAI,1,1,CAI,1,,,3/18/2024
EP2403-0046,3/14/2024,Nguyễn Dũng Trung,Theo bộ phận,"Mua theo đề xuất (Có file đính kèm)
Xe 5 tấn 51C-67266",0909400070000000,Bao Da Vô Lăng Tay Lái,CAI,1,1,CAI,1,,,3/18/2024
EP2403-0047,3/14/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư sử dụng lắp đường dây điện chiếu sáng cho phân xưởng.,0908601240000000,Bộ 5 mũi khoan đa năng chân lục giác 4 cạnh S180,CAI,1,1,CAI,1,,Lắp mới.,3/18/2024
EP2403-0047,3/14/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư sử dụng lắp đường dây điện chiếu sáng cho phân xưởng.,0906202430000000,Cùm omega phi 34mm,CAI,100,1,CAI,100,,Lắp mới.,3/18/2024
EP2403-0051,3/18/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư sửa chữa máy dệt CS và sử chữa MMTB phục vụ sản xuất.,0907101120000000,Motor Servo ECMA-C30807PS,CAI,2,1,CAI,2,,"Thay thế sửa chữa,",3/22/2024
EP2403-0052,3/18/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư sửa chữa máy móc thiết bị của phòng kỹ thuật.,0916900080000000,Mỡ trắng G.Beslux Caplex M-2 Atox,KG,5,1,KG,5,,"Bảo dưỡng dàn thu máy sợi,",3/22/2024
EP2403-0053,3/18/2024,Vũ Đức Hoàng,Theo tháng,PX BTP: Bình châm dung môi cho tổ in,0908700120000000,Bình Tia nước 1000ml,CAI,20,1,CAI,20,"Mỗi máy in dùng 3 bình: nhanh khô, chậm khô, vệ sinh.",,3/27/2024
EP2403-0054,3/19/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư sửa chữa đường khí nén phân xưởng 8 và sửa chữa đầu lưới máy sợi LOHIA1.,0903900510000000,Van thau tay gạt phi 60mm.,CAI,1,1,CAI,1,,"Thay mới,",3/22/2024
EP2405-0021,5/7/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư sửa chữa máy móc thiết bị.,0903900510000000,Van thau tay gạt phi 60mm.,CAI,1,1,CAI,1,,"Thay thế van hoi xưởng 1,",5/12/2024
EP2407-0060,7/16/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư chuyển máy nến khí SA37A về phân xưởng 8.,0903900510000000,Van thau tay gạt phi 60mm.,CAI,2,1,CAI,2,,"Lắp mới,",7/19/2024
EP2403-0057,3/19/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư kaizen máy mài vòng lược cho máy dệt LOHIA.,0923800024000000,Trục gắn đá máy mài vòng Lược phi 50x640mm + tán M25.- dày 25mm (GC theo bản vẽ ),TRUC,1,1,TRUC,1,,"Chế tạo mới, kaizen",3/24/2024
EP2403-0057,3/19/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư kaizen máy mài vòng lược cho máy dệt LOHIA.,0926400320000000,Đá mài tròn A60 phi 300x50mm - lỗ 25.,VIEN,2,1,VIEN,2,,"Chế tạo mới, kaizen",3/24/2024
EP2403-0057,3/19/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư kaizen máy mài vòng lược cho máy dệt LOHIA.,0926400330000000,Đá mài tròn A36 phi 300x50mm - lỗ 25.,VIEN,2,1,VIEN,2,,"Chế tạo mới, kaizen",3/24/2024
EP2403-0057,3/19/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư kaizen máy mài vòng lược cho máy dệt LOHIA.,0926400340000000,Bánh nhám phi 300x50mm - lỗ 25mm,CAI,2,1,CAI,2,,"Chế tạo mới, kaizen",3/24/2024
EP2403-0058,3/19/2024,Hà Mạnh Hùng,Theo bộ phận,"Vật tư chuyến máy bơm văn phòng mới và vật tư sửa chữa máy móc thiết bị phục vụ sản xuất,",0906400270000000,Ốc bơm mỡ bò M8 -thẳng.,CON,4,1,CON,4,,Máy nén khí.,3/22/2024
EP2403-0059,3/19/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư sử dụng của bộ phận điện sửa chữa mạch điện tử.,0916900090000000,Mỡ hàn thiếc KINGBO RMA -218-100G.,HOP,1,1,HOP,1,,Sử dụng hằng ngày.,3/24/2024
EP2403-0059,3/19/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư sử dụng của bộ phận điện sửa chữa mạch điện tử.,0924200090000000,Kính hiển vi kỹ thuật số Microscope G1200.,CAI,1,1,CAI,1,,Sử dụng hằng ngày.,3/24/2024
EP2403-0058,3/19/2024,Hà Mạnh Hùng,Theo bộ phận,"Vật tư chuyến máy bơm văn phòng mới và vật tư sửa chữa máy móc thiết bị phục vụ sản xuất,",0903901250000000,Van điện từ ngoài trời phi 34 LAZICO- VT34.,CAI,2,1,CAI,2,,"Lắp mới,",3/22/2024
EP2403-0058,3/19/2024,Hà Mạnh Hùng,Theo bộ phận,"Vật tư chuyến máy bơm văn phòng mới và vật tư sửa chữa máy móc thiết bị phục vụ sản xuất,",0902204790000000,DÂY ĐiỆN ĐƠN CADIVI CV 0.75MM ( màu đen),M,100,1,M,100,,Sửa chữa.,3/22/2024
EP2403-0061,3/19/2024,Lê Trần Đăng Khoa,Theo bộ phận,ĐỀ XUẤT MUA VẬT TƯ PHÂN XƯỞNG DỆT 19/3/2024,0901900730000000,BÁNH XE LƯNG rx8.0 50x20mm,CAI,100,1,CAI,100,,,3/29/2024
EP2403-0063,3/20/2024,Thái Minh Quyết,Theo bộ phận,KHSDVT hạt phụ gia POLYAID sử dụng thử nghiệm rộng rãi cho sợi KC15,HAT-POLYAID-80,Hạt phụ gia công POLYAID-80 CTY Châu Âu,KG,200,1,KG,200,,,3/22/2024
EP2403-0065,3/20/2024,Hoàng Văn Khiêm,Theo bộ phận,Vật Tư làm mái che sau x7 ( anh Vũ Nhân Sự),0903600180000000,"Tôn mạ kẽm 5 zem 7,5m",TAM,40,1,TAM,40,,,3/25/2024
EP2404-0042,4/12/2024,Hoàng Văn Khiêm,Theo bộ phận,Vật Tư Thay Thế  mái tôn X2,0903600180000000,"Tôn mạ kẽm 5 zem 7,5m",TAM,15,1,TAM,15,,,4/15/2024
EP2404-0066,4/20/2024,Hoàng Văn Khiêm,Theo bộ phận,Vật Tư Làm nhà kho phế  x7,0903600180000000,"Tôn mạ kẽm 5 zem 7,5m",TAM,16,1,TAM,16,,,4/22/2024
EP2403-0078,3/22/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư thay thế cho tủ điện máy dệt RX6.1 và sửa chữa bo nguồn máy dệt.,5200111310000000,"Quạt hút EBMPAPST 614NHHR, 24VDC, 60x60x25mm",CAI,10,1,CAI,10,,Sửa chữa,3/25/2024
EP2403-0078,3/22/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư thay thế cho tủ điện máy dệt RX6.1 và sửa chữa bo nguồn máy dệt.,0902206400000000,Tụ điện 1000MF/16VDC,CAI,50,1,CAI,50,,Sửa chữa,3/25/2024
EP2403-0078,3/22/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư thay thế cho tủ điện máy dệt RX6.1 và sửa chữa bo nguồn máy dệt.,0902210260000000,Tụ điện - 35VDC -47uf.,CAI,50,1,CAI,50,,Sửa chữa,3/25/2024
EP2403-0078,3/22/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư thay thế cho tủ điện máy dệt RX6.1 và sửa chữa bo nguồn máy dệt.,0902206510000000,Tụ điện DC 22UF 400V,CAI,50,1,CAI,50,,Sửa chữa,3/25/2024
EP2403-0078,3/22/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư thay thế cho tủ điện máy dệt RX6.1 và sửa chữa bo nguồn máy dệt.,0905401100000000,Đầu cốt kim lưỡi dẹp Nichifu BT 5.5 - 10,CAI,100,1,CAI,100,,Sửa chữa,3/25/2024
EP2403-0078,3/22/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư thay thế cho tủ điện máy dệt RX6.1 và sửa chữa bo nguồn máy dệt.,0905401110000000,Đầu cốt kim lưỡi dẹp Nichifu BTC- 10,CAI,100,1,CAI,100,,Sửa chữa,3/25/2024
EP2403-0082,3/25/2024,Võ Thị Minh Tiến,Theo bộ phận,Đề xuất mua dép mang trong xưởng cho PX. BTP,9045002480000000,Dép Tổ Ong màu đỏ -  size 38,Đôi,39,1,Đôi,39,,,3/28/2024
EP2403-0087,3/25/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư dự phòng sửa chữa máy móc thiết bị.,0902210300000000,MCB-3P - 10A- 6KA- Schneider,CAI,1,1,CAI,1,,Dự phòng thay thế.,3/29/2024
EP2403-0087,3/25/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư dự phòng sửa chữa máy móc thiết bị.,0902210310000000,MCB-3P - 20A- 6KA- Schneider,CAI,1,1,CAI,1,,Dự phòng thay thế.,3/29/2024
EP2403-0087,3/25/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư dự phòng sửa chữa máy móc thiết bị.,0902210270000000,MCB-1P - 40A- 6KA- Schneider,CAI,1,1,CAI,1,,Dự phòng thay thế.,3/29/2024
EP2403-0087,3/25/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư dự phòng sửa chữa máy móc thiết bị.,0902210280000000,MCB-2P - 10A- 6KA- Schneider,CAI,1,1,CAI,1,,Dự phòng thay thế.,3/29/2024
EP2403-0087,3/25/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư dự phòng sửa chữa máy móc thiết bị.,0902210290000000,MCB-2P - 16A- 6KA- Schneider,CAI,1,1,CAI,1,,Dự phòng thay thế.,3/29/2024
EP2403-0088,3/26/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư thay thế cho máy in cuộn số 6.,0902210320000000,MCB- 3P - 63A- 25KA- Schneider,CAI,1,1,CAI,1,,Thay thế sửa chữa.,3/29/2024
EP2403-0091,3/27/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư lắp bơm nước cho chiller xưởng 7.,0901301860000000,Bulong nhúng kẽm M16X80 +tán+lông đền vênh+ lông đền la,Bộ,60,1,Bộ,60,,Thay thế.,3/31/2024
EP2403-0102,3/30/2024,Lê Trần Đăng Khoa,Theo bộ phận,DỀ XUẤT MUA VẬT TƯ PHÂN XƯỞNG DỆT 30/3/2024,0916100065000000,Dụng cụ cắt mắt sên,Cái,2,1,Cái,2,LOẠI LỚN CẮT SÊN ĐÔI,,4/5/2024
EP2404-0010,4/3/2024,Nguyễn Dũng Trung,Theo bộ phận,"Băng keo Phản Quang
Hạt nhựa PP kéo sợi - T03
Hạt tẩy trắng quang học OP10 (Đại Á)
Hạt taical thổi HDPE IF-PE114C7 (Đại Á)",TAICAL-IFPP111CR-VTM,Hạt taical kéo sợi IFPP111CR-VTM D/A,KG,400,1,KG,400,RD đề xuất,,4/12/2024
EP2403-0098,3/28/2024,Thái Minh Quyết,Theo bộ phận,Mua taical thử nghiêm,TAICAL-IFPP111CR-VTM,Hạt taical kéo sợi IFPP111CR-VTM D/A,KG,300,1,KG,300,,,4/10/2024
EP2403-0098,3/28/2024,Thái Minh Quyết,Theo bộ phận,Mua taical thử nghiêm,HAT-TACKS-EFPP1002-BTN,Hạt taical kéo sợi CA EFPP-1002-BTN,KG,300,1,KG,300,,,4/10/2024
EP2404-0010,4/3/2024,Nguyễn Dũng Trung,Theo bộ phận,"Băng keo Phản Quang
Hạt nhựa PP kéo sợi - T03
Hạt tẩy trắng quang học OP10 (Đại Á)
Hạt taical thổi HDPE IF-PE114C7 (Đại Á)",HAT-TACKS-EFPP1002-BTN,Hạt taical kéo sợi CA EFPP-1002-BTN,KG,400,1,KG,400,RD đề xuất,,4/10/2024
EP2403-0099,3/29/2024,Hoàng Văn Khiêm,Theo bộ phận,Vật Tư Lắp đặt bồn rửa tay Và Giặt khăn và xây dựng ( làm cho anh Vũ),0904300280000000,T nhựa pvc 21,CAI,10,1,CAI,10,,,3/30/2024
EP2405-0053,5/17/2024,Thái Minh Quyết,Theo bộ phận,Mua đạp ure test bao mẫu topwood,0913900190000000,Đạm URÊ,KG,50,1,KG,50,,,5/18/2024
EP2404-0004,4/2/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư dự phòng thay thế cho máy móc thiết bị phục vụ sản xuất.,0907101130000000,Motor lô thu ( winder motor 6P-120W with bon AS 20) Mã: NOVA6 - 7759 .,CAI,1,1,CAI,1,,Máy dệt nova 6,4/8/2024
EP2404-0004,4/2/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư dự phòng thay thế cho máy móc thiết bị phục vụ sản xuất.,0907101140000000,Motor lô nước ( Inlet motor 6P-120W with bon AS - 16) Mã: 11401006000.,CAI,1,1,CAI,1,,Máy dệt nova 6,4/8/2024
EP2406-0037,6/12/2024,Hà Mạnh Hùng,Theo bộ phận,"Vật tư sửa chữa máy móc thiết bị, phục vụ sản xuất của phòng kỹ thuật. (LOHIA)",0907101140000000,Motor lô nước ( Inlet motor 6P-120W with bon AS - 16) Mã: 11401006000.,CAI,2,1,CAI,2,,Dự phòng thay thế cho máy dệt LOHIA.,6/23/2024
EP2404-0004,4/2/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư dự phòng thay thế cho máy móc thiết bị phục vụ sản xuất.,0907101150000000,"Motor lô đỉnh ( Take-up sensor (bon)  motor 0.37Kw. 4 Pole, B5 . AD71 (new) ) Mã: NOVA6 - 5017.",CAI,1,1,CAI,1,,Máy dệt nova 6,4/8/2024
EP2404-0004,4/2/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư dự phòng thay thế cho máy móc thiết bị phục vụ sản xuất.,0902700860000000,Đồng hồ đo mét LC7 - P62CA,CAI,1,1,CAI,1,,Máy in cái + máy cắt may.,4/8/2024
EP2404-0004,4/2/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư dự phòng thay thế cho máy móc thiết bị phục vụ sản xuất.,0902700870000000,Đồng hồ đếm cái CT6M-2P4T.,CAI,1,1,CAI,1,,Máy banh vải,4/8/2024
EP2404-0004,4/2/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư dự phòng thay thế cho máy móc thiết bị phục vụ sản xuất.,0902201580000000,Cảm biến tiệm cận PRL12 - 4DN,CAI,2,1,CAI,2,,In jumbo.,4/8/2024
EP2404-0009,4/3/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư bảo trì sửa chữa ben dầu dàn thu máy dệt RX8.0.,0916900100000000,Mỡ bò chịu nhiệt Kixx Grease  (Hàn Quốc),KG,4,1,KG,4,,"Bảo trì sửa chữa,",4/7/2024
EP2404-0009,4/3/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư bảo trì sửa chữa ben dầu dàn thu máy dệt RX8.0.,090570217000000,Phớt dầu UHS 25x33x5mm.,CAI,5,1,CAI,5,,"Bảo trì sửa chữa,",4/7/2024
EP2404-0009,4/3/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư bảo trì sửa chữa ben dầu dàn thu máy dệt RX8.0.,090570218000000,Phớt dầu DHS 25x33x45/6mm,CAI,5,1,CAI,5,,"Bảo trì sửa chữa,",4/7/2024
EP2404-0009,4/3/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư bảo trì sửa chữa ben dầu dàn thu máy dệt RX8.0.,090570219000000,Vòng đệm nhựa teflon phi 25x33x1.5mm,CAI,5,1,CAI,5,,"Bảo trì sửa chữa,",4/7/2024
EP2405-0017,5/6/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200117400000000,PLANTERS HAY-UNIPACK,CM2,10000,1,CM2,10000,,,5/8/2024
EP2404-0047,4/13/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200117500000000,STANDLEE-UNIPACK,CM2,10000,1,CM2,10000,,,4/15/2024
EP2406-0064,6/18/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in Polime,5200117500000000,STANDLEE-UNIPACK,CM2,5000,1,CM2,5000,,,6/20/2024
EP2406-0063,6/18/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản n cao su,5200117500000000,STANDLEE-UNIPACK,CM2,10000,1,CM2,10000,,,6/20/2024
EP2406-0088,6/26/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200117500000000,STANDLEE-UNIPACK,CM2,10000,1,CM2,10000,,,6/27/2024
EP2407-0028,7/8/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in Polime,5200117500000000,STANDLEE-UNIPACK,CM2,5000,1,CM2,5000,,,7/10/2024
EP2404-0015,4/4/2024,Bùi Thái Hòa,Theo bộ phận,ĐẶT KHẮC BẢN IN CAO SU,5200117700000000,MOLINO EL PERAL,CM2,10000,1,CM2,10000,,,4/6/2024
EP2404-0016,4/4/2024,Trần Trung Hiếu,Theo bộ phận,Lắp 02 camera phòng để tủ đựng đồ cá nhân của công nhân.,9045002480000001,Cáp chuyển nguồn PoE cho Camera IP,BO,2,1,BO,2,,,4/10/2024
EP2404-0016,4/4/2024,Trần Trung Hiếu,Theo bộ phận,Lắp 02 camera phòng để tủ đựng đồ cá nhân của công nhân.,9045002480000002,Nguồn DC Camera 12V,CAI,2,1,CAI,2,,,4/10/2024
EP2404-0016,4/4/2024,Trần Trung Hiếu,Theo bộ phận,Lắp 02 camera phòng để tủ đựng đồ cá nhân của công nhân.,9045002480000003,Hộp Box camera,CAI,2,1,CAI,2,,,4/10/2024
EP2404-0018,4/5/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư thay thế cho xe nâng số 5 ( KOMATSU HYBRID FB25HB-11),0908700400000000,Bình ắc quy LIFTOP (HITACHI) 48V - 565Ah ( xe nâng KOMATSU hybrid FB 25HB- 11 ).,CAI,1,1,CAI,1,,Thay mới.,4/8/2024
EP2404-0019,4/5/2024,Hà Mạnh Hùng,Theo bộ phận,Vật tư dự phòng thay thế sửa chữa máy móc thiết bị phục vụ sản xuất.,0907200040000000,Bông thủy tinh cách nhiệt chống cháy có lớp phủ bạc - rộng 1200 x dày 15mm,M,5,1,M,5,,Sửa chữa nhiệt máy Ó..,4/9/2024
EP2404-0030,4/10/2024,Nguyễn Dũng Trung,Theo bộ phận,"Dây đai ép kiện PET, màu xanh lá
Hạt phụ gia MV8C (Châu Âu)
Dây đai ép kiện, màu vàng,",HAT-EMMV8C,Hạt phụ gia MV8C (Châu Âu),KG,300,1,KG,300,TỒN KHO,,4/15/2024
EP2404-0062,4/18/2024,Nguyễn Dũng Trung,Theo bộ phận,"HAT-EMPP-MF
HAT-UV881C
HAT-EMMV8C",HAT-EMMV8C,Hạt phụ gia MV8C (Châu Âu),KG,1000,1,KG,1000,TỒN KHO,,4/22/2024
EP2406-0023,6/10/2024,Nguyễn Dũng Trung,Theo bộ phận,"Ống giấy cũ dài trên 135cm.
Chỉ may PP 900D, màu trắng không tẩy
Hạt phụ gia MV8C (Châu Âu)
Hạt nhựa PP M9600
Pallet gỗ 1.1m",HAT-EMMV8C,Hạt phụ gia MV8C (Châu Âu),KG,2000,1,KG,2000,TỒN KHO,,6/14/2024
EP2405-0097,5/28/2024,Nguyễn Dũng Trung,Theo bộ phận,"DÂY CỘT BAO
Hạt Taical kéo sợi
Hạt phụ gia MV8C (Châu Âu)
V....v.....",HAT-EMMV8C,Hạt phụ gia MV8C (Châu Âu),KG,2000,1,KG,2000,TỒN KHO,,6/1/2024
EP2407-0083,7/25/2024,Nguyễn Dũng Trung,Theo bộ phận,"Chỉ may PP 900D
HAT-EMMV8C
HAT-EMPP-MF
HAT-TAYOP10",HAT-EMMV8C,Hạt phụ gia MV8C (Châu Âu),KG,2000,1,KG,2000,TỒN KHO,,7/27/2024
EP2404-0071,4/23/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200117800000000,STANDLEE-UNIPACK,CM2,10000,1,CM2,10000,,,4/25/2024
EP2404-0046,4/13/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in Polime,5200117800000000,STANDLEE-UNIPACK,CM2,10000,1,CM2,10000,,,4/15/2024
EP2404-0021,4/6/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,5200117800000000,STANDLEE-UNIPACK,CM2,10000,1,CM2,10000,,,4/9/2024
EP2404-0021,4/6/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,520011790000000,PLANTERS HAY,CM2,10000,1,CM2,10000,,,4/15/2024
EP2405-0056,5/18/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in cao su,520011790000000,PLANTERS HAY,CM2,10000,1,CM2,10000,,,5/20/2024
EP2406-0061,6/18/2024,Bùi Thái Hòa,Theo bộ phận,Đặt khắc bản in polime,520011790000000,PLANTERS HAY,CM2,5000,1,CM2,5000,,,6/20/2024
EP2404-0027,4/9/2024,Phan Tấn Dũng,Theo bộ phận,"Trang bị các bảng cảnh báo cháy nỗ, nguy hiêm diện, hóa chất.",5300102050000000,Biển Báo NGUY CƠ ĐIỆN GIẬT,CAI,6,1,CAI,6,,,4/16/2024
EP2404-0027,4/9/2024,Phan Tấn Dũng,Theo bộ phận,"Trang bị các bảng cảnh báo cháy nỗ, nguy hiêm diện, hóa chất.",5300102060000000,Biển Báo NGUY CƠ CHÁY NỔ,CAI,6,1,CAI,6,,,4/16/2024
EP2404-0027,4/9/2024,Phan Tấn Dũng,Theo bộ phận,"Trang bị các bảng cảnh báo cháy nỗ, nguy hiêm diện, hóa chất.",5300102070000000,Biển Báo VẬT LIỆU DỄ CHÁY,CAI,6,1,CAI,6,,,4/16/2024
